LOC119724510	T-box protein 1
LOC119728406	delta-like protein 1
LOC119735414	protein C-ets-1-like
LOC119745670	T-box transcription factor T homolog
LOC119719343	titin-like
LOC119721166	homeobox protein OTX-like
LOC119723666	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-1-like
LOC119724911	transcription factor GATA-4-like
LOC119727319	ALX homeobox protein 1-like
LOC119732201	adenosine receptor A1-like
LOC119739967	myoferlin-like
LOC119745514	PR domain zinc finger protein 1-like
LOC119739845	hematopoietically-expressed homeobox protein HHEX homolog
LOC119725341	one cut domain family member 2-like
LOC119726019	hepatocyte nuclear factor 6-like
LOC119737654	actin-related protein 2/3 complex subunit 1A-like
LOC119743574	alpha-actinin-4-like
LOC119727010	T-box transcription factor TBX2-like
LOC119735694	sodium/potassium-transporting ATPase subunit alpha-3-like
LOC119720745	forkhead box protein N3-like
LOC119728957	tyrosine-protein kinase SRK2-like
LOC119729087	tyrosine-protein kinase Yes-like
LOC119729187	iroquois-class homeodomain protein IRX-1-like
LOC119729300	tyrosine-protein kinase SRK3-like
LOC119735630	transcriptional regulator ERG homolog
LOC119744515	tyrosine-protein kinase CSK-like
LOC119723839	transcription factor Sox-3-like
LOC119725391	ephrin-B2-like
LOC119729307	transcription factor SOX-4-like
LOC119730682	protein Wnt-8b-like
LOC119731530	ephrin type-A receptor 8-like
LOC119737432	ELAV-like protein 1-B
LOC119720694	homeobox protein GBX-2-like
LOC119721019	homeobox protein SIX6-like
LOC119721710	forkhead box protein B1-like
LOC119723325	fork head domain transcription factor slp1-like
LOC119728394	forkhead box protein D3-like
LOC119729620	ETS translocation variant 1-like
LOC119734799	forkhead box protein J1-B-like
LOC119737055	Krueppel-like factor 9
LOC119738408	paired box protein Pax-6-like
LOC119745654	retinal homeobox protein Rx-B-like
LOC119719076	A-kinase anchor protein 9-like
LOC119719207	tubulin alpha-1A chain-like
LOC119719788	tubulin gamma-1 chain
LOC119720262	outer dense fiber protein 2-like
LOC119723467	uncharacterized LOC119723467
LOC119724520	tubulin epsilon chain-like
LOC119726560	POC1 centriolar protein homolog A-like
LOC119727043	centromere protein J-like
LOC119727635	caltractin
LOC119730768	tubulin delta chain-like
LOC119734908	centriolar coiled-coil protein of 110 kDa-like
LOC119737787	uncharacterized LOC119737787
LOC119742470	ninein-like
LOC119742799	spindle assembly abnormal protein 6 homolog
LOC119745341	centrosomal protein POC5-like
LOC119723015	ATP synthase subunit beta, mitochondrial
LOC119724749	elongation factor 1-alpha
LOC119724930	ATP-dependent 6-phosphofructokinase-like
LOC119732237	S-adenosylmethionine synthase-like
LOC119740624	catalase-like
LOC119744539	triosephosphate isomerase-like
LOC119718737	forkhead box protein G1-like
LOC119718739	uncharacterized LOC119718739
LOC119718740	15-hydroxyprostaglandin dehydrogenase [NAD(+)]-like
LOC119718741	15-hydroxyprostaglandin dehydrogenase [NAD(+)]-like
LOC119718742	neurexin-4-like
LOC119718743	CUGBP Elav-like family member 3
LOC119718744	alpha-1D adrenergic receptor-like
LOC119718745	melatonin receptor type 1B-B-like
LOC119718746	3'(2'),5'-bisphosphate nucleotidase 1-like
LOC119718747	uncharacterized LOC119718747
LOC119718748	Rieske domain-containing protein-like
LOC119718749	calcyphosin-2-like
LOC119718750	uncharacterized LOC119718750
LOC119718751	galanin receptor type 1-like
LOC119718752	2'-5'-oligoadenylate synthase 1A-like
LOC119718753	deubiquitinase DESI2-like
LOC119718754	coiled-coil domain-containing protein 97-like
LOC119718755	WD repeat-containing and planar cell polarity effector protein fritz homolog
LOC119718756	glutathione hydrolase 1 proenzyme-like
LOC119718757	uncharacterized LOC119718757
LOC119718758	homeobox protein Hox-B5-like
LOC119718759	perlucin-like protein
LOC119718760	uncharacterized LOC119718760
LOC119718761	ADAMTS-like protein 1
LOC119718762	dimethyladenosine transferase 1, mitochondrial-like
LOC119718763	uncharacterized LOC119718763
LOC119718764	acid-sensing ion channel 2-like
LOC119718765	acid-sensing ion channel 1A-like
LOC119718766	uncharacterized LOC119718766
LOC119718767	uncharacterized LOC119718767
LOC119718768	uncharacterized LOC119718768
LOC119718769	DNA polymerase theta-like
