gene	protein id
a	FBpp0071677
a	FBpp0071678
a	FBpp0099961
a	FBpp0309745
abd-A	FBpp0082828
abd-A	FBpp0082829
abd-A	FBpp0289712
abd-A	FBpp0297433
Abd-B	FBpp0082823
Abd-B	FBpp0082824
Abd-B	FBpp0082825
Abd-B	FBpp0082826
Abd-B	FBpp0089276
Abd-B	FBpp0303552
Abd-B	FBpp0312359
Abd-B	FBpp0373669
Abd-B	FBpp0373670
Abd-B	FBpp0373671
Abl	FBpp0075116
Abl	FBpp0111702
Abl	FBpp0303163
Abl	FBpp0303164
Abl	FBpp0303165
Abl	FBpp0303166
Abl	FBpp0303167
Abl	FBpp0303168
Abl	FBpp0303169
Abl	FBpp0311523
abo	FBpp0079757
ac	FBpp0070071
Ace	FBpp0082248
Ace	FBpp0289713
Ace	FBpp0307210
acj6	FBpp0073832
acj6	FBpp0099732
acj6	FBpp0099734
acj6	FBpp0288502
acj6	FBpp0288503
acj6	FBpp0293719
acj6	FBpp0293720
acj6	FBpp0293721
acj6	FBpp0293722
acj6	FBpp0293723
acj6	FBpp0293724
acj6	FBpp0293725
acj6	FBpp0293726
Acph-1	FBpp0084974
Acph-1	FBpp0084975
nAChRalpha1	FBpp0084003
nAChRalpha1	FBpp0303342
nAChRalpha1	FBpp0306936
mAChR-A	FBpp0072274
mAChR-A	FBpp0072275
nAChRbeta1	FBpp0073155
nAChRbeta1	FBpp0073156
nAChRalpha2	FBpp0084023
nAChRalpha2	FBpp0084024
Act5C	FBpp0070788
Act5C	FBpp0070787
Act5C	FBpp0100124
Act5C	FBpp0100125
Act5C	FBpp0311818
Act42A	FBpp0085365
Act57B	FBpp0071448
Act79B	FBpp0078131
Act79B	FBpp0306215
Act87E	FBpp0082253
Act87E	FBpp0082254
Act87E	FBpp0312019
Act88F	FBpp0082597
Pfas	FBpp0078850
Pfas	FBpp0078851
Pfas	FBpp0078852
Gart	FBpp0079059
Gart	FBpp0099760
Gart	FBpp0308722
Adh	FBpp0100045
Adh	FBpp0100051
Adh	FBpp0100050
Adh	FBpp0100048
Adh	FBpp0100047
Adhr	FBpp0099544
Adhr	FBpp0099545
Adhr	FBpp0310282
adp	FBpp0085923
adp	FBpp0309249
al	FBpp0077713
Mps1	FBpp0082911
Mps1	FBpp0303766
Ald1	FBpp0084367
Ald1	FBpp0084368
Ald1	FBpp0084372
Ald1	FBpp0084373
Ald1	FBpp0089214
Ald1	FBpp0113036
Ald1	FBpp0297612
Ald1	FBpp0302780
Ald1	FBpp0302781
Ald1	FBpp0308680
Ama	FBpp0081135
Ama	FBpp0081136
Ama	FBpp0081137
amd	FBpp0080697
amd	FBpp0080698
amx	FBpp0071266
amx	FBpp0298282
Amy-d	FBpp0086136
Amy-p	FBpp0086155
Amy-p	FBpp0311627
AnxB9	FBpp0088505
AnxB9	FBpp0088506
AnxB9	FBpp0088986
AnxB9	FBpp0088985
AnxB9	FBpp0307769
AnxB9	FBpp0307770
AnxB10	FBpp0070024
AnxB10	FBpp0291143
dyw	FBpp0070480
Anp	FBpp0084976
Anp	FBpp0311969
aop	FBpp0077522
aop	FBpp0077523
aop	FBpp0303508
aop	FBpp0303509
aop	FBpp0303510
RpLP0	FBpp0078134
RpLP0	FBpp0306232
Appl	FBpp0070104
Appl	FBpp0298292
Appl	FBpp0298293
Appl	FBpp0298294
Appl	FBpp0298295
Appl	FBpp0298296
Aprt	FBpp0088438
Aprt	FBpp0312098
Aprt	FBpp0312099
bru1	FBpp0079926
bru1	FBpp0079927
bru1	FBpp0079929
bru1	FBpp0289794
bru1	FBpp0304034
bru1	FBpp0304035
bru1	FBpp0304036
bru1	FBpp0304037
bru1	FBpp0304038
bru1	FBpp0304320
bru1	FBpp0428458
Arl1	FBpp0075272
Argk1	FBpp0076270
Argk1	FBpp0076271
Argk1	FBpp0076272
Argk1	FBpp0076273
Argk1	FBpp0111703
Argk1	FBpp0303940
Argk1	FBpp0311280
arm	FBpp0089031
arm	FBpp0089032
arm	FBpp0089033
arm	FBpp0089034
arm	FBpp0089035
arm	FBpp0304835
arr	FBpp0086821
Arr1	FBpp0080583
Arr1	FBpp0298351
Arr1	FBpp0309204
Arr2	FBpp0076326
ase	FBpp0070074
ash2	FBpp0084039
ash2	FBpp0084040
ash2	FBpp0297301
asp	FBpp0084071
aub	FBpp0079754
aub	FBpp0111705
aurA	FBpp0081957
awd	FBpp0308291
awd	FBpp0311978
awd	FBpp0312191
Axs	FBpp0074146
b	FBpp0080119
b	FBpp0301687
b	FBpp0309589
Dll	FBpp0072285
Dll	FBpp0072286
Dll	FBpp0289353
bam	FBpp0084243
baz	FBpp0074162
baz	FBpp0110299
baz	FBpp0310322
baz	FBpp0310323
bcd	FBpp0081164
bcd	FBpp0081165
bcd	FBpp0081166
bcd	FBpp0081167
bcd	FBpp0081168
ben	FBpp0073686
ben	FBpp0289793
ben	FBpp0298297
ben	FBpp0305066
ben	FBpp0305067
bi	FBpp0070640
bi	FBpp0289835
bi	FBpp0289836
bi	FBpp0301040
bi	FBpp0301041
bi	FBpp0303589
bi	FBpp0310169
bib	FBpp0079519
bib	FBpp0303019
bic	FBpp0086895
bic	FBpp0086896
BicC	FBpp0080362
BicC	FBpp0080363
BicC	FBpp0080361
BicD	FBpp0080555
BicD	FBpp0296968
BicD	FBpp0303258
BicD	FBpp0303259
boss	FBpp0084323
brm	FBpp0075278
brm	FBpp0075279
brm	FBpp0075280
brm	FBpp0075281
brm	FBpp0303193
brm	FBpp0305757
Brd	FBpp0075374
brn	FBpp0070606
Elba1	FBpp0077114
Nin	FBpp0078718
Nin	FBpp0078719
Nin	FBpp0291723
Nin	FBpp0291724
Nin	FBpp0302744
Nin	FBpp0302745
Nin	FBpp0309716
bsk	FBpp0079676
bsk	FBpp0290204
bsk	FBpp0291573
btd	FBpp0071314
bur	FBpp0290556
