#protein_ID	protein_accession	Gene_ID	Gene_symbol
1009327555	AMR68936	ECB-GENE-25444897	LOC119720415
1040842501	ANN83872	ECB-GENE-25460719	LOC119730768
1040842581	ANN83874	ECB-GENE-25443937	LOC119719788
1040843036	ANN83885	ECB-GENE-25468707	LOC119737787
1040843090	ANN83887	ECB-GENE-25443170	LOC119719076
1040843148	ANN83889	ECB-GENE-25455778	LOC119727635
1040843194	ANN83891	ECB-GENE-25476216	LOC119742470
1040843243	ANN83893	ECB-GENE-25444717	LOC119720262
1103529079	APD14960	ECB-GENE-25459098	LOC119729696
1103529759	APD14961	ECB-GENE-25459098	LOC119729696
1103530263	APD14962	ECB-GENE-25452394	LOC119724919
1103530523	APD14963	ECB-GENE-25456495	LOC119728208
1103530784	APD14964	ECB-GENE-25456495	LOC119728208
118406561	ABK81634	ECB-GENE-25479381	LOC119745283
1677617701	QCW63970	ECB-GENE-25444897	LOC119720415
183397773	ACC62395	ECB-GENE-25465760	LOC119735414
1944815870	XP_038053650	ECB-GENE-25453449	LOC119726075
1944816322	XP_038062808	ECB-GENE-25463686	LOC119733256
1944816340	XP_038062855	ECB-GENE-25463686	LOC119733256
1944816358	XP_038063113	ECB-GENE-25463789	LOC119733783
1944816362	XP_038063184	ECB-GENE-25463871	LOC119733863
1944816366	XP_038063287	ECB-GENE-25463908	LOC119733955
1944816381	XP_038063589	ECB-GENE-25464233	LOC119734245
1944816428	XP_038064767	ECB-GENE-25465628	LOC119735107
1944816567	XP_038067172	ECB-GENE-25467192	LOC119737105
1944816593	XP_038067798	ECB-GENE-25467965	LOC119737456
1944816600	XP_038068040	ECB-GENE-25468332	LOC119737612
1944816603	XP_038068175	ECB-GENE-25468467	LOC119737679
1944816607	XP_038068256	ECB-GENE-25468467	LOC119737679
1944816612	XP_038068343	ECB-GENE-25468467	LOC119737679
1944816616	XP_038068462	ECB-GENE-25468877	LOC119737863
1944816621	XP_038068544	ECB-GENE-25468877	LOC119737863
1944816628	XP_038068704	ECB-GENE-25469149	LOC119737996
1944816631	XP_038068779	ECB-GENE-25469149	LOC119737996
1944816634	XP_038068891	ECB-GENE-25469425	LOC119738174
1944816638	XP_038069023	ECB-GENE-25469529	LOC119738249
1944816641	XP_038069103	ECB-GENE-25469529	LOC119738249
1944816645	XP_038069261	ECB-GENE-25469798	LOC119738408
1944816647	XP_038069328	ECB-GENE-25469798	LOC119738408
1944816649	XP_038069394	ECB-GENE-25469798	LOC119738408
1944816658	XP_038069795	ECB-GENE-25470475	LOC119738884
1944816834	XP_038073112	ECB-GENE-25474667	LOC119741405
1944816854	XP_038073586	ECB-GENE-25475226	LOC119741739
1944816858	XP_038073660	ECB-GENE-25475226	LOC119741739
1944816896	XP_038073899	ECB-GENE-25475561	LOC119741959
1944816899	XP_038073979	ECB-GENE-25475561	LOC119741959
1944816924	XP_038074440	ECB-GENE-25476299	LOC119742515
1944816928	XP_038074537	ECB-GENE-25476299	LOC119742515
1944816931	XP_038074667	ECB-GENE-25476429	LOC119742592
1944816939	XP_038074874	ECB-GENE-25476738	LOC119742749
1944816947	XP_038074988	ECB-GENE-25476738	LOC119742749
1944816950	XP_038075105	ECB-GENE-25476932	LOC119742893
1944816975	XP_038075914	ECB-GENE-25477632	LOC119743530
1944816978	XP_038075975	ECB-GENE-25477632	LOC119743530
1944816981	XP_038075985	ECB-GENE-25477701	LOC119743738
1944816983	XP_038075996	ECB-GENE-25477711	LOC119743899
1944816997	XP_038076315	ECB-GENE-25477993	LOC119744424
1944817001	XP_038076393	ECB-GENE-25477993	LOC119744424
1944817004	XP_038076475	ECB-GENE-25477993	LOC119744424
1944817008	XP_038076563	ECB-GENE-25477993	LOC119744424
1944817011	XP_038076645	ECB-GENE-25477993	LOC119744424
1944817025	XP_038076885	ECB-GENE-25478718	LOC119744785
1944817029	XP_038076965	ECB-GENE-25478718	LOC119744785
1944817040	XP_038077293	ECB-GENE-25479206	LOC119745107
1944817044	XP_038077359	ECB-GENE-25479206	LOC119745107
1944817058	XP_038077764	ECB-GENE-25479836	LOC119745448
1944817061	XP_038077885	ECB-GENE-25480077	LOC119745528
1944817064	XP_038077978	ECB-GENE-25480077	LOC119745528
1944817095	XP_038078561	ECB-GENE-25481210	LOC119745909
1944817098	XP_038078687	ECB-GENE-25481356	LOC119745981
1944817101	XP_038078806	ECB-GENE-25481559	LOC119746063
1944817111	XP_038079117	ECB-GENE-25482044	LOC119746289
1944817114	XP_038079195	ECB-GENE-25482044	LOC119746289
1944817132	XP_038044293	ECB-GENE-25443155	LOC119718916
1944817137	XP_038044338	ECB-GENE-25443160	LOC119719067
1944817140	XP_038044453	ECB-GENE-25443279	LOC119719154
1944817149	XP_038044793	ECB-GENE-25443665	LOC119719393
1944817153	XP_038044911	ECB-GENE-25443769	LOC119719473
1944817185	XP_038045935	ECB-GENE-25444783	LOC119720326
1944817189	XP_038046009	ECB-GENE-25444783	LOC119720326
1944817193	XP_038046082	ECB-GENE-25444783	LOC119720326
1944817196	XP_038046164	ECB-GENE-25444783	LOC119720326
1944817215	XP_038046283	ECB-GENE-25445212	LOC119720587
1944817229	XP_038046746	ECB-GENE-25445872	LOC119720920
1944817233	XP_038046808	ECB-GENE-25445872	LOC119720920
1944817278	XP_038047006	ECB-GENE-25446204	LOC119721176
1944817282	XP_038047015	ECB-GENE-25446204	LOC119721176
1944817288	XP_038047041	ECB-GENE-25446256	LOC119721197
1944817298	XP_038047070	ECB-GENE-25446268	LOC119721203
1944817303	XP_038047094	ECB-GENE-25446311	LOC119721211
1944817306	XP_038047103	ECB-GENE-25446311	LOC119721211
1944817309	XP_038047111	ECB-GENE-25446311	LOC119721211
1944817325	XP_038047165	ECB-GENE-25446435	LOC119721251
1944817332	XP_038047189	ECB-GENE-25446476	LOC119721268
1944817335	XP_038047203	ECB-GENE-25446491	LOC119721276
1944817339	XP_038047212	ECB-GENE-25446491	LOC119721276
1944817342	XP_038047220	ECB-GENE-25446491	LOC119721276
1944817352	XP_038047256	ECB-GENE-25446575	LOC119721308
1944817381	XP_038047346	ECB-GENE-25446604	LOC119721364
1944817409	XP_038047378	ECB-GENE-25446628	LOC119721386
1944817493	XP_038047498	ECB-GENE-25446709	LOC119721488
1944817506	XP_038047504	ECB-GENE-25446709	LOC119721488
1944817512	XP_038047524	ECB-GENE-25446716	LOC119721517
1944817515	XP_038047530	ECB-GENE-25446716	LOC119721517
1944817518	XP_038047538	ECB-GENE-25446716	LOC119721517
1944817522	XP_038047546	ECB-GENE-25446716	LOC119721517
1944817525	XP_038047557	ECB-GENE-25446737	LOC119721546
1944817530	XP_038047564	ECB-GENE-25446737	LOC119721546
1944817533	XP_038047574	ECB-GENE-25446749	LOC119721564
1944817536	XP_038047584	ECB-GENE-25446759	LOC119721575
1944817539	XP_038047592	ECB-GENE-25446759	LOC119721575
1944817542	XP_038047600	ECB-GENE-25446759	LOC119721575
1944817545	XP_038047606	ECB-GENE-25446759	LOC119721575
1944817561	XP_038047612	ECB-GENE-25446770	LOC119721605
1944817564	XP_038047613	ECB-GENE-25446775	LOC119721621
1944817579	XP_038047614	ECB-GENE-25446779	LOC119721637
1944817592	XP_038047615	ECB-GENE-25446779	LOC119721637
1944817609	XP_038047616	ECB-GENE-25446779	LOC119721637
1944817633	XP_038047617	ECB-GENE-25446779	LOC119721637
1944817645	XP_038047618	ECB-GENE-25446779	LOC119721637
1944817654	XP_038047622	ECB-GENE-25446792	LOC119721726
1944817663	XP_038047634	ECB-GENE-25446797	LOC119721737
1944817667	XP_038047638	ECB-GENE-25446802	LOC119721742
1944817670	XP_038047642	ECB-GENE-25446807	LOC119721745
1944817673	XP_038047645	ECB-GENE-25446807	LOC119721745
1944817680	XP_038047664	ECB-GENE-25446814	LOC119721774
1944817683	XP_038047672	ECB-GENE-25446819	LOC119721783
1944817709	XP_038047681	ECB-GENE-25446824	LOC119721792
1944817854	XP_038047821	ECB-GENE-25446982	LOC119721935
