,epithelium_pm1,epithelium_pm2,epithelium_pm3,epithelium_pm4,follicle_I_pm5,follicle_I_pm6,follicle_I_pm7,follicle_I_pm8,follicle_II_pm9,follicle_II_pm10,follicle_II_pm11,follicle_II_pm12,germ_pm13,germ_pm14,oocytes_pm15,oocytes_pm16,oocytes_pm17,oocytes_pm18,oocytes_pm19,neurons_pm20,muscles_pm21,muscles_pm22,follicle_III_pm23,follicle_III_pm24,follicle_III_pm25,immune_pm26,immune_pm27
stromal_mm0,0.035065069,0.100063682,0.06023271,0.035843186,0.031123287,0.072092799,0.083225696,0.02655429,0.053991973,0.050389736,0.044730911,0.045280994,0.008460708,0,0.000909847,0.024119258,0.010627415,0.014788785,0.037284471,0.095048626,0.132508414,0.841302763,0.033925368,0.009267672,0.027505436,0.003941491,0.030947474
granulosa_mm1,0.000937316,0.020155213,0.094598769,0.003901375,0.005476252,0.023712083,0.063744057,0.057951056,0.059430858,0.061591223,0.057159291,0.020651745,0,0,0.001354095,0.043192995,0.051598037,0.186486145,0.221602662,0.098458738,0.009755591,0.000717808,0.018578601,0.007975236,0.026853305,0.001478477,0.004379503
epithelium_mm10,5.32E-05,0.003754523,0,0.000672285,0.006207047,0.017903242,0.021193922,5.59E-05,0.094795504,0.037664925,0.013847624,0.024499286,0,0,0.000150583,0.009723717,0.00603339,0.000762231,0.009741444,0.001029855,0.000177069,0,0.027617452,0.005408536,0.012449599,0,0
oocytes_mm11,0.000195683,0.001680628,0.005830189,0.002462826,0.001768065,0.005293476,0.004050434,0.000496751,0.152045956,0.051279816,0.020456457,0.016721767,3.46E-05,0.000224287,0.001842217,0.013488838,0.004987253,0.009877575,0.057922468,0.000845276,0.000267757,0,0.005814735,0.000180136,0.000212072,5.48E-05,0.000483631
luteal_mm12,1.69E-05,0.002190835,0.000720889,0.001243276,0.005852847,0.005539174,0.008557419,0.001738987,0.024213109,0.034376644,0.004832364,0.00332463,0.020707307,0.007607857,0.000514428,0.014192187,0.002734013,0.001012835,0.009288847,0.023252956,0.000529047,0,0.088835756,0.0169685,0.001122699,0.000135338,0.000290066
B-lymphocytes__mm13,0.000149568,0.000230795,0,0,0.000116618,0,0.00015143,3.57E-05,0.000185077,2.88E-05,9.40E-05,0,1.54E-05,0,0,0.001096837,0,0,4.04E-05,0,0,0,0.220724265,0.244384329,0.087419707,0.023841697,0.00114693
epithelium_mm15,0.006507048,0.001268043,0.000417119,0.001694171,0.179008932,0.312501071,0.071204201,0.004452337,0.005585362,0.003031688,0.000812951,0.001464068,0,0,0,0.001160506,0.00087983,0,0.00031764,0.000127487,0.001065064,0,0.000801253,0.036870966,0.002218392,0.000639214,0
stromal_mm2,0.014732872,0.083241908,0.106092177,0.1070355,0.061350461,0.022991859,0.137783859,0.177545758,0.186075821,0.212413255,0.185846318,0.21797369,0.424344954,0.494261167,0.443345044,0.277875141,0.505982005,0.244318641,0.213537129,0.300322264,0.071485126,0.046555985,0.133965129,0.051289253,0.072284022,0.041750243,0.183729649
theca_mm3,0.413328831,0.257867787,0.228810413,0.030844671,0.012067559,0.000368643,0.002217498,0.02444421,0.021668739,0.013883948,0.011047054,0.010754895,0.02631677,0,0.001024218,0.003089704,0.001154364,0.001137487,0.006173754,0.028496714,0.002949389,0.000288636,0.006133298,0.002906723,0.00455662,0.002192505,0.000577057
endothelium_mm4,0.02678518,0.006076628,0.010498944,0.031741878,0.452695975,0.148009071,0.086332358,0.024410011,0.015461358,0.007905199,0.003491584,0.003960707,0.000156414,0,9.73E-05,0.001643143,0.001186211,0.000533029,0.000373948,0.000552094,0.016610713,0.014407354,0.005219923,0.009119306,0.007748559,0.000452599,0
phagocytes_mm5,0.000612398,0.001298625,0,0.002755346,0.006053975,0.009828748,0.122621483,0.013180085,0.003103207,0.001792598,0.000593055,0.008777087,0.00032433,0,0,0.002588528,0.000650496,0.003033859,0.000367945,0,0.000311177,1.93E-05,0.128593913,0.193425435,0.049089923,0.025179885,0.009221992
T-lymphocytes_mm6,0.000506078,0.000218081,0.000153862,0.002492455,0.00154426,5.63E-05,0.000852355,0.002588348,0.002401136,0.004636571,0.002901746,0.004070332,0.000541076,0.000285056,0.00129004,0.008407048,0.002468231,0.004076442,0.000309611,0.000614705,0.002359314,0,0.123067804,0.432729181,0.178673771,0.019424425,0.034765168
granulosa_mm7,0.001137558,0.001563138,0.005561019,0.001524927,0.011594972,0.31762226,0.080063197,0.014230972,0.012980179,0.007977228,0.005839501,0.018257781,0,0,0.000113206,0.018094372,0.030800203,0.036511654,0.040506511,0.009037535,0.00686289,6.22E-05,0.004347078,0.004620282,0.006904154,0.009550905,0.000182898
stromal_mm8,0.001483285,0.012885662,0.006200897,0.001100847,0.009621727,0.117271066,0.05371371,0.004626762,0.029240019,0.026374105,0.006288224,0.004634814,0.003066068,0,0.000564549,0.020855342,0.007415948,0.000853759,0.009022279,0.006534872,0.053906562,0.135807204,0.002253415,0.002456051,0.01246168,0.000915857,0.003398109
phagocytes_mm9,0.000249922,0.002352085,0.000540223,0.008951733,0.014659746,0.01793856,0.177311317,0.007650501,0.026418028,0.017208798,0.013231852,0.044910884,0.013285597,0.000774448,0.000413533,0.015014999,0.001921494,0.003820417,0.0008852,0.000932617,0.001758836,0.000496377,0.146351659,0.059263772,0.017979213,0.003760045,0.000309213
