,epithelium_pm1,epithelium_pm2,epithelium_pm3,epithelium_pm4,follicle_I_pm5,follicle_I_pm6,follicle_I_pm7,follicle_I_pm8,follicle_II_pm9,follicle_II_pm10,follicle_II_pm11,follicle_II_pm12,germ_pm13,germ_pm14,oocytes_pm15,oocytes_pm16,oocytes_pm17,oocytes_pm18,oocytes_pm19,neurons_pm20,muscles_pm21,muscles_pm22,follicle_III_pm23,follicle_III_pm24,follicle_III_pm25,immune_pm26,immune_pm27
lactotropes_mm0,0.018490838,0.062173318,0.070170544,0.060723651,0.028881367,0.004877222,0.050979469,0.057888894,0.073329066,0.069738534,0.071145749,0.055783093,0.286416068,0.100948893,0.201930805,0.069604901,0.112902141,0.03523561,0.109254229,0.049460812,0.020917285,0.011468221,0.029800591,0.0167804,0.039002471,0.037839103,0.071742034
lactotropes_mm1,0.006183257,0.004775228,0.007019083,0.011513136,0.017695553,0.001360314,0.015423979,0.008231649,0.016759973,0.006384202,0.003029966,0.005925195,0.530790884,0.089402281,0.030497459,0.028868915,0.023183041,0.015549694,0.020446977,0.065627285,0.002791235,0.002749224,0.00573708,0.007407325,0.00536161,0.014533374,0.008720553
gonadotropes_mm10,0.005451901,0.00121716,0.020034173,0.001734027,0.010234206,0.019316488,0.026219183,0.006368548,0.036182111,0.013193441,0.002918346,0.007318323,0.041600933,0.002560923,0.000569411,0.003575892,0.003981869,0.00031454,0.035011865,0.387171357,0.00195794,0.00272557,0.005358158,0.002989116,0.010552923,0.000580846,0.028184577
corticotropes_mm11,0.000150216,0.004728466,0.003348543,0.005071564,0.004350843,0.061091675,0.178040536,0.014548452,0.023714288,0.012198354,0.001444953,0.004546988,0,0,0,0.010058832,0.032783616,0.027061113,0.119180873,0.022210278,0.002070183,0.0007612,0.003591531,0.008445076,0.013990822,4.51E-05,0.020799997
corticotropes_mm12,0.023986835,0.021315365,0.019446421,0.019165465,0.026985944,0.013346043,0.075362451,0.031599195,0.037764644,0.012606707,0.010648694,0.050375922,0.271520783,0.007989476,0.013900201,0.017065797,0.023814159,0.019144506,0.044527501,0.00725917,0.005625408,0.002791547,0.01587984,0.003908598,0.005042821,0.004261966,0.006711051
corticotropes_mm13,0.001378696,0.00564407,0.003693989,0.001005057,0.017480095,0.073861902,0.232917252,0.020749036,0.009102449,0.005676494,0.002236256,0.003399941,0.088165384,0.002462946,0.013013332,0.002856697,0.003293911,0.000354639,0.003212495,0.000656519,0.075505159,0.061575122,0.001507108,0.002106323,0.001624487,0.001959245,0.001628956
stem_cells_mm14,0.000346932,0.004516166,0.001217223,0.000277116,0.003448203,0.007602813,0.011215568,0.001536279,0.20318418,0.127989075,0.013456545,0.002275273,0.04378124,0.001236549,0.002296031,0.011025667,0.009763077,0.000744818,0.019246236,0.000774255,0.000223004,0.000141182,0.036321708,0.00673996,0.001680485,3.60E-05,0.000240643
thyrotropes_mm15,0.00020431,0.003955802,0.001203087,0.000338511,0.000659867,0.032628064,0.076702234,0.002094129,0.037757531,0.011555409,0.001396463,0.012689716,0.004596194,0,0.00040752,0.013808734,0.041359597,0.031674442,0.134053442,0.008541057,0.000847554,0.000405985,0.012084893,0.006437798,0.00238742,0.000239069,0.008909947
stem_cells_mm16,0.003227881,0.006002065,0,0.001066122,0.020411389,0.027794129,0.018787485,0.00077078,0.000198172,6.67E-05,0.000258358,0.000246939,0,0,0,0,0,0,0,0,0.025855791,0.053766324,0.051266195,0.465397546,0.089751215,0.003330185,0.004813563
corticotropes_mm17,0.000509238,0.042956379,0.000351817,0.002486558,0.004827437,0.007938055,0.065999784,0.005296247,0.064979338,0.029018244,0.003426092,0.006610705,0.119965532,0.006311093,0.00336483,0.007182329,0.006103333,0.004812146,0.017678158,0.003477905,4.85E-05,0.00276719,0.017292795,0.003153197,0.002074435,0.000391341,0.000152718
proliferating_mm18,0.000538534,0.006118863,0.002053685,0,0.000315942,0.001843651,0.014584193,0.002212709,0.010919006,0.01967739,0.001404602,0.004118275,0.065129667,0.007944323,0.002906594,0.018852124,0.052941831,0.17000224,0.11464292,0.002167991,0.00061284,0.000211324,0.004647521,0.002639963,0.001320455,0,0.000303906
corticotropes_mm19,0.000338634,0.00067007,0.001079694,0,0.002133421,0.041167286,0.099021285,0.000923965,0.063177469,0.037233957,0.022550937,0.008143424,0.053871366,0.003011566,0.004873741,0.000690298,0.000486377,0,0.023127053,0.001128083,0.00208756,0,0.004545562,0.002183749,0.001081003,0,0.001220437
lactotropes_mm2,0.005536406,0.016295139,0.053606147,0.039047378,0.016124336,0.002228721,0.035407915,0.038773337,0.199222659,0.200121325,0.194311557,0.103056866,0.263259438,0.066118245,0.077709044,0.091308402,0.142423873,0.109250959,0.25201255,0.032932544,0.022490522,0.009592682,0.076483516,0.01099633,0.02454703,0.016463672,0.022725068
unknown_mm20,4.38E-05,0.002457011,0.002523126,8.54E-05,0.000329567,0.017638732,0.022692639,0.006845593,0.053247876,0.028919388,0.007523995,0.000455804,0.414630659,0.030029786,0.023978428,0.009195434,0.018302624,0.0033745,0.054008742,0.010606409,0.000554459,0.000187729,0.004157156,0.004804537,0.003052748,5.38E-05,0.003514934
lactotropes_mm3,0.028430899,0.025475607,0.060509386,0.088049479,0.040415927,0.004485424,0.03297539,0.031422904,0.113044584,0.12623361,0.106540517,0.102556507,0.116345463,0.018511036,0.021319651,0.068538829,0.048592114,0.118946271,0.171055107,0.004757429,0.008641911,0.00603888,0.065686691,0.009036855,0.021788817,0.005602833,0.018104498
lactotropes_mm4,0.000112447,0.003043217,0.010883419,0.007007352,0.005399675,0.000854743,0.016390045,0.01488899,0.01597588,0.015338282,0.014235017,0.018614709,0.45276129,0.234617327,0.124147803,0.034723124,0.093067595,0.022639835,0.062874212,0.091055163,0.010427981,0.00366875,0.01405989,0.007933361,0.009506351,0.011891631,0.026371091
thyrotropes_mm5,0.183790165,0.186983284,0.136506867,0.029377864,0.110900642,0.401600399,0.206117062,0.071531,0.011554082,0.005433195,0.006555153,0.044582382,0.100623043,0.00367493,0.006358509,0.011384318,0.005201398,0.009358452,0.005676913,0.014797268,0.094494757,0.129110727,0.099317333,0.10846108,0.111737196,0.032221583,0.112825647
somatotropes_mm6,0.034675929,0.018517782,0.033059593,0.057963709,0.057174487,0.003631661,0.032093771,0.034297808,0.030605168,0.031243174,0.02680553,0.077025407,0.408003717,0.076597472,0.094127442,0.041885041,0.073943013,0.026501815,0.039971176,0.02690994,0.013898784,0.005989871,0.035222587,0.010404439,0.015474415,0.006479845,0.02506226
somatotropes_mm7,0.000709805,0.009376612,0.005557702,0.014511813,0.007965483,0.017271195,0.057697457,0.008178631,0.047027902,0.028236933,0.004601387,0.00709118,0.073976852,0.018090161,0.002474429,0.014067715,0.032258566,0.021580681,0.122310953,0.005555734,0.001160213,0.001046443,0.010836382,0.008640658,0.002765337,0.010533657,0.01212642
stem_cells_mm8,0.001183376,0.004981802,0.002383096,0.000860831,0.025975347,0.105186142,0.103049629,0.003361813,9.86E-05,6.29E-06,2.69E-05,0.000920255,0,0,0,5.75E-06,0,0,0,0.000164536,0.029530156,0.005548066,0.082339169,0.401831041,0.084965603,0.006053545,0.003475989
melanotropes_mm9,0.000918822,0.053860638,0.005747577,0.008334438,0.002130645,0.019898499,0.108990831,0.008846501,0.013356163,0.006893369,0.00316295,0.002153452,0.02748612,0.000717093,0.000875315,0.007981091,0.04157049,0.005450249,0.127219231,0.021148384,0.006941633,0.001666269,0.002521472,0.004557376,0.020000822,0.000139729,0.007238757
