,epithelium_pm1,epithelium_pm2,epithelium_pm3,epithelium_pm4,follicle_I_pm5,follicle_I_pm6,follicle_I_pm7,follicle_I_pm8,follicle_II_pm9,follicle_II_pm10,follicle_II_pm11,follicle_II_pm12,germ_pm13,germ_pm14,oocytes_pm15,oocytes_pm16,oocytes_pm17,oocytes_pm18,oocytes_pm19,neurons_pm20,muscles_pm21,muscles_pm22,follicle_III_pm23,follicle_III_pm24,follicle_III_pm25,immune_pm26,immune_pm27
oocytes_sp0,0.005417657,0.039920269,0.061149817,0.095151307,0.041695719,0.053203031,0.071512469,0.051626408,0.14224448,0.15915606,0.139046984,0.159765749,0.196347615,0.067444023,0.131658749,0.207655541,0.157941678,0.142120928,0.13285222,0.058459683,0.064781133,0.00922082,0.089468636,0.050127104,0.052051737,0.014545143,0.051670512
oocytes_sp1,0.001221742,0.026452074,0.063565722,0.058747123,0.022843262,0.031744249,0.056191514,0.022386252,0.076042837,0.082032838,0.069518056,0.037045897,0.007932575,0.000670868,0.021613565,0.076688135,0.080799022,0.181250976,0.178409866,0.077132116,0.046451483,0.003431221,0.063641979,0.087705013,0.083487401,0.029023865,0.16239716
epithelium_sp10,0.034568124,0.073620863,0.012955733,0.0082077,0.01722399,0.007482257,0.016131249,0.005944792,0.011482918,0.005563399,0.002253715,0.00291926,0.004783495,0.007389826,0.007768447,0.007469583,0.025128176,0.000857597,0.007651516,0.000731664,0.004244039,0.036156254,0.038939255,0.097650305,0.034680243,0.001710467,0.002148759
muscles_sp11,0.005394682,0.005826489,0.001477114,0.000171039,0.002588207,0.002629037,0.007903925,0.00271926,0.002532565,0.00132691,0.00343701,0.002000633,0.008260613,0.001402899,0.001602679,0.001013339,0.009009151,0.000231161,0.001217762,0,0.073070671,0.860668011,0.001186624,0.000706437,0.006345048,0,0.008098709
unknown_sp12,0.023262496,0.009114173,0.00410055,0.006312366,0.032183888,0.007747704,0.053899455,0.016176871,0.016187748,0.006334647,0.002035549,0.015816077,0.01261064,0.018164617,0.008284258,0.002905319,0.01259356,0.000315187,0.003000622,0.001498034,0.05816621,0.001436228,0.059201255,0.066136268,0.033045058,0.008842256,0.001795201
follicle_sp13,0.012089193,0.014094135,0.00056951,0,0.000244534,0.003391991,0.007113409,0.001271884,0.09150562,0.028651729,0.006486122,0.000702236,0,0,0,0.00056213,0,0,0.004447336,0,0,0.000472665,0.000893454,0.006103987,0.028001675,0,0
germ_sp2,0.000866785,0.027269231,0.036767497,0.019885348,0.01032254,0.009674985,0.064898069,0.071156852,0.012516702,0.019167566,0.014978515,0.049948812,0.150255992,0.485697409,0.446154999,0.076387649,0.301469631,0.094043443,0.081668669,0.078948969,0.015668028,0.002969275,0.025797676,0.023286708,0.037751134,0.050022901,0.088014724
oocytes_sp3,1.52E-05,0.00127253,0.000967297,0.001050192,0.001257927,0.002048815,0.046930745,0.018139566,0.005201966,0.004927723,0.002128195,0.007305337,0.018355664,0.005311687,0.005244574,0.011185686,0.121748154,0.014380279,0.074551323,0.01827638,0.000965172,0.000136728,0.002552079,0.024438433,0.007181179,0.0002769,0.042352988
oocytes_sp4,0.000775078,0.001832542,0.00406757,0.003019158,0.00122198,0.000341543,0.014981533,0.001776373,0.027082228,0.014655008,0.013808303,0.008517581,0.003466101,0.026623345,0.016409445,0.048851517,0.189463877,0.0151248,0.069227171,0.018566375,0.000746936,0.000155105,0.002453835,0.003635936,0.001394047,0.001643605,0.003744095
follicle_sp5,0.031497899,0.058580449,0.030024072,0.005344641,0.011385353,0.027768617,0.081390907,0.035512096,0.02152587,0.01486673,0.00452395,0.009099381,0.009262995,0.023186003,0.010256767,0.007153962,0.009368645,0.000757995,0.012237869,0.00303866,0.030667881,0.002323795,0.018941935,0.016110916,0.013852034,0.007745558,0.003330085
follicle_sp6,0.04775187,0.021540375,0.026925806,0.019633455,0.045114001,0.031717225,0.05173515,0.030397878,0.055582149,0.040530948,0.025278872,0.070699434,0.006438659,0.027801223,0.029034896,0.036243036,0.033343837,0.009652675,0.009450842,0.006770915,0.01308983,0.002127641,0.16964468,0.070792112,0.015666533,0.003336822,0.005888574
epithelium_sp7,0.351693071,0.214273881,0.158393808,0.053193582,0.071985896,0.00835187,0.027999189,0.043183071,0.011326244,0.005519527,0.005138292,0.025734309,0.051010435,0.009683471,0.006370457,0.003160113,0.009851823,0.001127453,0.005891489,0.009934672,0.040469228,0.001825519,0.07897288,0.097578292,0.068134382,0.023390032,0.01010114
follicle_sp8,0.001614201,0.007746141,0.006926507,0.00367996,0.114437715,0.233873932,0.17044148,0.022346996,0.006639728,0.004384566,0.001580707,0.006740364,0.001491193,0.000355515,0.004505843,0.010409645,0.013893668,0.002733523,0.005129042,0.002399008,0.012289956,0.005117826,0.019991078,0.018267205,0.014298398,0.00622477,0.001605744
germ-sp9,7.01E-05,0.006398582,0.002574475,0.002364283,0.002428674,0.01262732,0.040761536,0.003411775,0.029552972,0.019189925,0.004259215,0.00715389,0.036314004,0.040374728,0.016720465,0.021993043,0.056724894,0.002070578,0.031154135,0.01387753,0.002074647,0.000293372,0.006177853,0.005497023,0.004991733,0.001282457,0.003044776
