,epithelium_pm1,epithelium_pm2,epithelium_pm3,epithelium_pm4,follicle_I_pm5,follicle_I_pm6,follicle_I_pm7,follicle_I_pm8,follicle_II_pm9,follicle_II_pm10,follicle_II_pm11,follicle_II_pm12,germ_pm13,germ_pm14,oocytes_pm15,oocytes_pm16,oocytes_pm17,oocytes_pm18,oocytes_pm19,neurons_pm20,muscles_pm21,muscles_pm22,follicle_III_pm23,follicle_III_pm24,follicle_III_pm25,immune_pm26,immune_pm27
stromal_dr1,0.18789274,0.056421019,0.048336669,0.04761601,0.056729545,0.066557032,0.037699516,0.027424037,0.003042038,0.006968925,0.005025641,0.030182258,0.025072904,0.013566603,0.023823825,0.012814411,0.015203409,0.003189826,0.004441987,0.046459534,0.028741258,0.003057656,0.032654586,0.028271755,0.045208368,0.014383816,0.007220951
stromal_dr11,0.093581225,0.028710526,0.004503386,0.008833559,0.038265624,0.068240868,0.049077452,0.019543917,0.008027474,0.004717865,0.003225473,0.014060031,0.014721894,0.001037685,0.002667755,0.003417511,0.000754693,0.000218283,0.00075359,0.031997797,0.033507625,0.069029042,0.004097888,0.009473264,0.006599781,0.003310255,0.003088834
stromal_dr14,0.017597121,0.011638039,0.008626784,0.009489944,0.011491739,0.005576559,0.025165116,0.03255822,0.010880014,0.018240735,0.011181021,0.058611786,0.106174055,0.168877182,0.096617938,0.027498795,0.045100524,0.00474774,0.018466384,0.029213209,0.011434591,0.019091525,0.02219946,0.019443495,0.014116109,0.010969087,0.018722209
stromal_dr17,0.026776459,0.005332726,0.007959302,5.92E-05,0.000883019,0.000255104,0.008345357,0.000877023,0.000772392,0.001129458,0.002946342,0.00298488,0.114355215,0,0.01427537,0.000872308,0.010841224,0.001557247,0.000110641,0.000694072,0.040577912,0.696204891,0.001918866,0.000188738,0.002234209,0,0.000107371
stromal_dr19,0.008775627,0.003924119,0.005003731,0.001444403,0.028792035,0.280551215,0.052255572,0.018922712,0.001659917,0.002638695,0.002336948,0.01338388,0.01007513,0,0.00079925,0.005994525,0.001713109,0.002352711,0.000324865,0.002857612,0.036980443,0.162253728,0.004556349,0.028723395,0.003314919,0.001693263,0.000122865
vasculature_dr13,0.013950612,0.002713043,0.011585271,0.042034854,0.409933004,0.033286363,0.010651946,0.009092426,0.001046762,0.002013655,0.003124527,0.014081311,0.005562408,0.043860807,0.038718151,0.009099761,0.017943509,0.003191144,0.006793773,0.010208706,0.024893009,0.021244761,0.002693103,0.02921387,0.006460219,0.00325446,0.008787654
follicle_dr2,0.015962268,0.016973676,0.001668477,0.006162756,0.017777809,0.251502346,0.141931792,0.014148782,0.005385708,0.004724968,0.004767509,0.00741768,1.44E-05,0,0.000539453,0.001680787,6.03E-05,0,0.000172507,0.000857364,0.030863192,0.000784078,0.005035668,0.010277082,0.008248833,0.004490251,0.000128848
follicle_dr7,0.000575585,0.003775556,5.88E-05,0.003030743,0.029163873,0.167951898,0.222148374,0.01103907,0.009229203,0.010964345,0.002063408,0.015704204,0.004027077,0.000952398,0.000693959,0.006965792,0.000941249,0.000351258,0.001075306,0.028052538,0.030228639,0.000363205,0.012676983,0.006868202,0.003315311,0.000688731,6.46E-05
follicle_dr16,0.105342446,0.040414327,0.00561054,0.002180257,0.031977556,0.052391643,0.055492373,0.005022454,0.002042452,0.002516293,0.000927437,0.009442152,0.008788268,0.046390139,0.037419696,0.006339163,0.018477709,0.004650782,0.007050459,0.020873009,0.050405557,0.000302051,0.002416605,0.002307415,0.002370973,0.004596824,0.005140392
theca_dr12,0.398626617,0.311573847,0.213339982,0.032314865,0.008839277,0.000124041,0.003131023,0.028148171,0.00137064,0.000400386,0.003016616,0.005947047,0.080664281,0.005974551,0.005476838,0.00070885,0.000735618,0.000557688,0.000485107,0.010295584,0.003638186,0.000494358,0.001312302,0.001763485,0.007538004,0.002643699,0.003065166
