,epithelium_pm1,epithelium_pm2,epithelium_pm3,epithelium_pm4,follicle_I_pm5,follicle_I_pm6,follicle_I_pm7,follicle_I_pm8,follicle_II_pm9,follicle_II_pm10,follicle_II_pm11,follicle_II_pm12,germ_pm13,germ_pm14,oocytes_pm15,oocytes_pm16,oocytes_pm17,oocytes_pm18,oocytes_pm19,neurons_pm20,muscles_pm21,muscles_pm22,follicle_III_pm23,follicle_III_pm24,follicle_III_pm25,immune_pm26,immune_pm27
granulosa_II_hs1,0.003510416,0.041533469,0.045765636,0.040344065,0.02982715,0.007546551,0.040221588,0.050023429,0.024587402,0.036030072,0.037057083,0.094712843,0.150429345,0.074493655,0.057079145,0.050286116,0.025310656,0.007826096,0.007941017,0.035009637,0.008340539,0.000783891,0.089618392,0.119915696,0.027925432,0.049723617,0.041486945
stromal_and_theca_hs2,0.002299061,0.046274677,0.034739544,0.005971902,0.002065137,0.004132022,0.04715661,0.030810536,0.050661562,0.055817007,0.044706153,0.025637021,0.026121227,0.039560199,0.095733662,0.052542155,0.13426666,0.133688714,0.124820169,0.027592838,0.011570447,0.008384548,0.013985104,0.007017665,0.01450597,0.00442345,0.019700965
granulosa_I_hs11,6.37E-06,0.00387459,0.021598734,0.000906623,0.006728303,0.015641879,0.022114821,0.002652314,0.042616887,0.039788434,0.039359295,0.01956446,0.000299917,0.000867879,0.003254626,0.031441525,0.081381453,0.173216039,0.121286792,0.002183123,0.007822056,0.022195775,0.009840824,0.002515199,0.00429908,0.000959046,0.001654918
germ_hs12,0,0.000137384,0.000231386,0.000134639,0,0.000261433,0.002560839,0.01743207,0.016246326,0.012281539,0.004682637,0.001629344,0,0,0.000642901,0.010215481,0.329750031,0.059206999,0.055170615,0.004583741,8.76E-05,0,0.000832642,4.40E-05,0.001163552,0,0
stromal_and_theca_hs13,0.012440616,0.170321729,0.003402646,0.009581802,0.012265103,0.019321947,0.106979774,0.00687256,0.008081749,0.004783018,0.001549389,0.002333746,0.028477409,0.001631409,0.006121643,0.001183745,0.001591728,0.000102386,0.002939829,0.008646286,0.004164576,0.014126979,0.003907062,0.002959583,0.004970422,0.001683325,0.002238715
granulosa_II_hs14,0.07449786,0.02223611,0.01097925,0.007393351,0.00713906,0.005807425,0.00561379,0.002454824,0.001884302,0.001758734,0.000218073,0.006538875,0.023279357,0,0,0.000516801,6.05E-05,0,0.000208074,0.001653008,0.001358219,3.42E-05,0.119111571,0.275556524,0.08503025,0.036373637,0.024290503
granulosa_II_hs15,0.088834626,0.005618533,0.005664367,0.019471742,0.010888116,0.00109,0.011040591,0.002876134,0.001081307,0.003832946,0.00040816,0.00364375,0.008239078,0.000647697,0.000131592,0.001239757,9.44E-05,0,0,0.000235913,0.001910168,0.000113402,0.153756624,0.236596955,0.01701044,0.008195114,0.002948014
germ_hs16,0,0.004085432,0.001156671,0.000181612,0,3.36E-05,0.004024795,0.005404884,0.049299645,0.027349265,0.023461118,0.005080545,0,0,0.00045584,0.00934185,0.081139256,0.020002859,0.196920323,0.000118103,0.001933593,5.10E-05,0.003928704,0.000563839,0.002072049,0,0.000201902
granulosa_I_hs17,1.31E-05,0.001139782,0,0.00332517,0.019056673,0.046296896,0.042312548,0.0070508,0.008665711,0.016744914,0.002805206,0.031229582,0.000148731,0.000883402,0.000381299,0.017668447,0.042484999,8.54E-05,0.025194103,0.00191159,0.013904464,0.008613178,0.007059358,0.015231132,0.008286747,0,0.000376118
granulosa_I_hs18,5.95E-05,0.002034215,0.003558433,0.001337894,0.001259268,0.004989219,0.024181819,0.002599145,0.019367499,0.016916192,0.015171081,0.006380729,0.000752711,0.003893772,0.016499348,0.101921324,0.140179447,0.034780225,0.087399546,0.002045934,0.00271351,0.000169797,0.004615389,0.013377385,0.00280868,0.00035455,0.002653713
granulosa_II_hs19,0.053200498,0.059473095,0.008985143,0.003407201,0.014744863,0.006612805,0.017629657,0.056241494,0.009049161,0.006120705,0.001251195,0.004204063,0.003353967,0,0.000132873,0.0015823,0.000908606,0,0.000134954,0.000205111,0.00383753,0.001596015,0.016227345,0.057296862,0.037947745,0.003466383,0.000880441
granulosa_II_hs20,8.08E-05,0.002331499,0.000131287,0.001359955,0.000837197,0.005344237,0.011192592,0.002031444,0.066255847,0.019663204,0.005353709,0.010366428,0.00361633,0.00059064,0.002253396,0.006330803,0.003216706,0.000268598,0.005888607,0.000575909,0.000321859,0.001577252,0.083392099,0.082192089,0.007016168,0.001165808,0.001180209
stromal_and_theca_hs3,0.001480103,0.053163981,0.061989306,0.018417105,0.032428642,0.012438712,0.08943684,0.182577346,0.030484929,0.019568407,0.018060482,0.043530111,0.295272658,0.367401069,0.445177884,0.080920717,0.30155615,0.018694213,0.092450917,0.224361451,0.062690675,0.015930281,0.029440319,0.030021328,0.03541247,0.079502146,0.117351723
granulosa_II_hs21,0.007674857,0.032784903,0.011202071,0.001843622,0.003696913,0.002860861,0.024553483,0.023877169,0.085343809,0.035505696,0.037063057,0.014757892,0.011688378,0.000403638,0.001822924,0.017720642,0.025464762,0.019586784,0.033141675,0.002109878,0.00108861,0.000272462,0.012357254,0.020611488,0.012473286,0.007488423,0.00318009
endothelium_hs22,0.010917004,0.000890462,0.001952808,0.00911271,0.183398568,0.074763649,0.059071879,0.00288522,0.00383618,0.004687702,0.001375606,0.003294684,0,0,0,0.00033189,0.000612771,0.000184838,0.001493594,7.41E-05,0.006908733,0.009055325,0.011751396,0.080478577,0.013216716,0.000238959,0.000983636
