,epithelium_pm1,epithelium_pm2,epithelium_pm3,epithelium_pm4,follicle_I_pm5,follicle_I_pm6,follicle_I_pm7,follicle_I_pm8,follicle_II_pm9,follicle_II_pm10,follicle_II_pm11,follicle_II_pm12,germ_pm13,germ_pm14,oocytes_pm15,oocytes_pm16,oocytes_pm17,oocytes_pm18,oocytes_pm19,neurons_pm20,muscles_pm21,muscles_pm22,follicle_III_pm23,follicle_III_pm24,follicle_III_pm25,immune_pm26,immune_pm27
undefined,0.079042099,0.107476692,0.076396365,0.10302938,0.054890217,0.07591314,0.086843095,0.062556456,0.153643698,0.149239082,0.149874811,0.09104014,0.160772162,0.158991841,0.084560757,0.061190702,0.050352321,0.04488112,0.093353026,0.064681461,0.053147935,0.03750304,0.089457464,0.075354811,0.0217388,0.06681255,0.060289527
upper oral ectoderm,0.02959147,0.038748772,0.034637447,0.026052647,0.023542573,0.061729642,0.051042523,0.025112638,0.06078908,0.038467732,0.032934037,0.025901015,0.046158879,0.048216822,0.044011098,0.044293178,0.050389582,0.059064242,0.069028274,0.032957681,0.017938443,0.004017168,0.031773899,0.034200691,0.009401657,0.034327351,0.030411503
intestine,0.008777199,0.012534021,0.01995829,0.007685236,0.012669167,0.00412578,0.014475139,0.289388729,0.046282325,0.027221751,0.006765722,0.025141722,0.00800349,0.003943995,0.033238153,0.018470402,0.098414782,0.014593638,0.045977637,0.032695844,0.004506224,0.001084135,0.007674033,0.005413341,0.017496485,0.008245044,0.020397776
acinar-like cells,0.000660581,0.006438619,0.001186876,0.009767584,0.024803285,0.00355208,0.012185759,0.003208628,0.073775087,0.051995465,0.009333451,0.042569317,0.000174021,0.000572254,0.002762651,0.024371775,0.070490028,0.003430836,0.069470515,0.009268672,0.001040928,0.000195676,0.024129259,0.004339934,0.001055449,0.006135394,0.012105287
cardiac sphincter,0.001340945,0.003823386,0.004237845,0.004843784,0.009650239,0.00546724,0.022085311,0.002581689,0.053502011,0.028458366,0.006723103,0.046059992,0.001536255,0.000171194,0.001841339,0.010993309,0.029579037,0.000450353,0.017602345,0.003174483,0.15236117,0.010046729,0.045793399,0.013399214,0.001753454,0.008152112,0.003783583
apical plate,0.011787903,0.037360914,0.009833315,0.005757023,0.011530118,0.032823385,0.030392127,0.006401998,0.019717683,0.011711777,0.003583119,0.005142704,0.007278563,0.000664272,0.005937587,0.008354267,0.018060976,0.004692123,0.019746616,0.060409326,0.002853733,0.001678959,0.010785898,0.054306483,0.00129838,0.015464,0.00393528
stomach 3,0.002715077,0.005959634,0.011613669,0.00530751,0.008056168,0.003327919,0.015737137,0.008616763,0.097411748,0.048375383,0.006095731,0.059840859,0.004574597,0.005924028,0.025828192,0.023049837,0.157918914,0.012391172,0.069103997,0.013881575,0.00242447,0.000557714,0.015931841,0.00538439,0.002733261,0.00854457,0.004818473
blastocoelar cells,0.000322493,0.007017697,0.000329201,0.001253038,0.006559476,0.033923615,0.053676512,0.007798332,0.065289532,0.067682578,0.011790842,0.008365884,8.00E-05,0,0.001496354,0.031866411,0.014055564,0.000775462,0.013842488,0.008799516,0.000660628,0.000703205,0.023478602,0.016940465,0.000674729,0.008758018,0.002215971
neurons,0.001968504,0.018859341,0.001542955,0.001582573,0.007630575,0.073310895,0.050056076,0.007054407,0.039763956,0.019593676,0.007435556,0.009975488,0.002763776,0.000647384,0.009008356,0.014900369,0.033574873,0.002038115,0.02449502,0.005834631,0.007736623,0.00075856,0.011533339,0.02987506,0.001472286,0.0174829,0.00193226
coelomic pouches,0.003160335,0.011027316,0.004673765,0.002497393,0.00302342,0.002824122,0.021806498,0.006786798,0.07020742,0.025848264,0.01618511,0.014696385,0.029534257,0.005981765,0.018804282,0.023172795,0.04966573,0.013162459,0.045193489,0.005331132,0.002153014,0.000310441,0.019683938,0.023273114,0.000918521,0.011770106,0.001327099
esophageal muscles,0.002694493,0.003098609,0.000202506,2.83E-05,0.002665422,0.001255281,0.00317277,0.006282784,0.002973371,0.002658939,0.000825097,0.00448629,0.004059707,0.000197362,0.001656404,0.000882497,0.015616791,0,0.013414912,0.000427699,0.035913374,0.716290903,0.001341623,0.006026501,0.000338817,0.004574137,0.006398703
lower oral ectoderm,0.023665531,0.027542903,0.003585107,0.061134994,0.052878023,0.006040749,0.012950855,0.001303206,0.046698847,0.018219079,0.004718598,0.013622942,0.008968649,0,0.002522715,0.014594226,0.007405553,0.000428042,0.012664985,0.001626035,0.009206186,0.001575465,0.02165453,0.032775067,0.00019627,0.003604628,0.000467035
stomach 1,0.050763312,0.040215607,0.043180184,0.046640994,0.062836344,0.043154571,0.043209158,0.096483082,0.032454627,0.027321139,0.021190189,0.058232075,0.021219267,0.019857928,0.143115315,0.105118564,0.146235706,0.088998269,0.076023889,0.080799981,0.014577417,0.00462754,0.03169754,0.043234351,0.021267583,0.032803309,0.053176686
